s_m,y_m,CdA_m2,P_W,y_m_2,CdA_m2_2,P_W_2,comment
0,2.5,0.24,134,,,,Lap0_BackStraight_3of4
10,2.5,0.24,134,,,,Lap0_BackStraight_3of4
20,2.5,0.24,165,,,,Lap0_BackStraight_4of4
30,2.5,0.24,204,,,,Lap0_Turn3_1of4
40,2.5,0.24,153,,,,Lap0_Turn3_2of4
50,2.5,0.24,138,,,,Lap0_Turn3_3of4
60,2.5,0.24,125,,,,Lap0_Turn3_4of4
70,2.93,0.24,162,,,,Lap0_Turn4_1of4
80,3.36,0.24,160,,,,Lap0_Turn4_3of4
90,3.79,0.24,145,,,,Lap0_Turn4_4of4
100,4.64,0.24,123,,,,Lap1_HomeStraight_1of4
110,5.92,0.24,134,,,,Lap1_HomeStraight_1of4
120,7.2,0.24,113,,,,Lap1_HomeStraight_2of4
130,7.5,0.24,130,,,,Lap1_HomeStraight_3of4
140,7.5,0.24,137,,,,Lap1_HomeStraight_4of4
150,7.25,0.24,141,,,,Lap1_HomeStraight_4of4
160,6.5,0.24,144,,,,Lap1_Turn1_1of4
170,5.75,0.24,131,,,,Lap1_Turn1_2of4
180,4.75,0.24,127,,,,Lap1_Turn1_4of4
190,5.13,0.24,148,,,,Lap1_Turn2_1of4
200,5.88,0.24,161,,,,Lap1_Turn2_2of4
210,5.39326,0.24,122,,,,Lap1_Turn2_3of4
220,5.58979,0.24,157,,,,Lap1_Turn2_4of4
230,5.77075,0.24,109,,,,Lap1_BackStraight_1of4
240,7.5,0.24,115,,,,Lap1_BackStraight_2of4
250,7.13,0.24,120,,,,Lap1_BackStraight_3of4
260,7.5,0.24,130,,,,Lap1_BackStraight_3of4
270,7.5,0.24,161,,,,Lap1_BackStraight_4of4
280,7.17741,0.24,194,,,,Lap1_Turn3_1of4
290,6.77693,0.24,184,,,,Lap1_Turn3_2of4
300,7.01559,0.24,192,,,,Lap1_Turn3_3of4
310,6.70246,0.24,222,,,,Lap1_Turn3_4of4
320,6.71055,0.24,206,,,,Lap1_Turn4_1of4
330,6.94792,0.24,201,,,,Lap1_Turn4_3of4
340,6.77911,0.24,172,,,,Lap1_Turn4_4of4
350,6.4952,0.24,171,,,,Lap2_HomeStraight_1of4
360,7.5,0.24,186,,,,Lap2_HomeStraight_1of4
